category,sub_category,title,url,content,published date,summary,news_code
ورزشی,فوتسال/فوتبال,اعلام زمان و مکان بازیهای تیم ملی فوتبال در مهرماه,https://www.isna.ir/news/1404070100763/اعلام-زمان-و-مکان-بازی-های-تیم-ملی-فوتبال-در-مهرماه,"به گزارش ایسنا، با اعلام فدراسیون فوتبال، تیم ملی فوتبال ایران روز سهشنبه ۲۲ مهرماه در چارچوب فیفادی اکتبر، با تیم ملی تانزانیا در دبی دیداری دوستانه برگزار خواهد کرد.
همچنین تیم ملی فوتبال روز ۱۸ مهرماه نیز در شهر ولگوگراد به مصاف روسیه خواهد رفت.
انتهای پیام",۱ مهر ۱۴۰۴ / ۲۱:۵۹,زمان و مکان برگزاری بازیهای تیم ملی فوتبال ایران در مهرماه مشخص شد.,1.40407E+12
ورزشی,فوتسال/فوتبال,بازیکن سابق استقلال در بیمارستان بستری شد,https://www.isna.ir/news/1404070100758/بازیکن-سابق-استقلال-در-بیمارستان-بستری-شد,"به گزارش ایسنا، اکبر کارگرجم بازیکن سابق استقلال و تیم ملی فوتبال ایران در جام جهانی 1978 در بیمارستان بستری شد.
کارگرجم مدتهاست  که با بیماری دست و پنجه نرم می کند و به همین دلیل در بیمارستان بستری شده است.
انتهای پیام",۱ مهر ۱۴۰۴ / ۲۱:۳۸,بازیکن سابق استقلال و تیم ملی در جام جهانی 1978 در بیمارستان بستری شد.,1.40407E+12
ورزشی,فوتسال/فوتبال,هفته پنجم لیگ یک با پیروزی نساجی و مس کرمان آغاز شد,https://www.isna.ir/news/1404070100738/هفته-پنجم-لیگ-یک-با-پیروزی-نساجی-و-مس-کرمان-آغاز-شد,"به گزارش ایسنا، هفته پنجم رقابتهای لیگ آزادگان امروز (سهشنبه، یک مهر) آغاز شد و آریو اسلامشهر برابر فرد البرز متوقف شد. نساجی مازندران و مس کرمان هم برابر حریفان خود پیروز شدند.
بازی مس سونگون و مس کرمان قرار بود از ساعت ۱۶:۳۰ آغاز شود اما درهای زمین ورزشگاه بنیان دیزل بسته بود که در نهایت با حضور مقامات باشگاه تراکتور در ورزشگاه، اجازه ورود به استادیوم داده شد تا بعد از حدود ۲ ساعت انتظار تیم ها در رختکن، شرایط برای گرم کردن بازیکنان دو تیم فراهم شود. این بازی از ساعت ۱۷:۱۵ آغاز شد.
نتایج بازیهای امروز:
مس سونگون صفر - یک مس کرمان
نساجی مازندران یک - صفر نیروی زمینی
آریو اسلامشهر صفر - صفر فرد البرز 
برنامه بازیهای فردا: 
داماش گیلان - سایپا
بعثت کرمانشاه - صنعت نفت آبادان 
هوادار - شهرداری نوشهر
مس شهر بابک - نود ارومیه
شناورسازی قشم - پالایش نفت بندرعباس 
نفت و گاز گچساران - پارس جنوبی جم 
انتهای پیام",۱ مهر ۱۴۰۴ / ۲۰:۴۸,لیگ آزادگان با برگزاری سه دیدار آغاز شد؛ نساجی مازندران با عبور از نیروی زمینی موقتا در صدر جدول قرار گرفت و مس کرمان هم از سد مس سونگون گذشت.,1.40407E+12
ورزشی,فوتسال/فوتبال,جزئیات جلسه هیات مدیره استقلال و سیدورف با ساپینتو/ تاجرنیا: او حمایت کامل مدیریت را دارد,https://www.isna.ir/news/1404070100697/جزئیات-جلسه-هیات-مدیره-استقلال-و-سیدورف-با-ساپینتو-تاجرنیا,,۱ مهر ۱۴۰۴ / ۱۹:۴۵,علی تاجرنیا رئیس هیات مدیره و سرپرست مدیرعاملی استقلال امروز (سه شنبه) با حضور در ایسنا به سوالات مختلفی جواب داد. او در بخش ابتدایی این گفتوگو درباره جلسه امروز اعضای هیات مدیره و سیدورف با ریکاردو ساپینتو توضیح داد.,1.40407E+12
ورزشی,فوتسال/فوتبال,اتفاقات عجیب در ورزشگاه شهید سلیمانی تبریز / دیدار مسیها با تأخیر برگزار میشود,https://www.isna.ir/news/1404070100652/اتفاقات-عجیب-در-ورزشگاه-شهید-سلیمانی-تبریز-دیدار-مسی-ها-با,"طبق اعلام نقی نصیری، مدیرعامل باشگاه مس سونگون ورزقان  با موافقت باشگاه تراکتور قرار بود مس سونگون ورزقان در جریان هفته پنجم لیگ دسته یک فوتبال از ساعت ۱۶:۳۰ امروز «سهشنبه اول مهر) در ورزشگاه شهید سردار سلیمانی تبریز مقابل مس کرمان میزبانی کند اما با یک اتفاق عجیب و برخلاف تصمیم روز گذشته، وضعیت برگزاری این دیدار با بسته بودن درهای زمین چمن، خطکشینشدن زمین، نصبنشدن تورهای دروازه و ممانعت از ورود اعضای دوتیم به زمین، در هالهای از ابهام قرار گرفت.
در حالی که ساعت از ۱۶:۳۰ رد شد و زمان شروع بازی رسیده بود همچنان درهای ورود به زمین چمن بسته بود که در نهایت با حضور سعید مظفریزاده، مدیرعامل باشگاه تراکتور زمین در اختیار تیم فوتبال مسسونگون قرار گرفت.
به گزارش ایسنا، بازیکنان دوتیم ساعت ۱۶:۴۵ برای انجام گرم کردن وارد زمین شدند و این دیدار با ساعاتی تأخیر در زمین اصلی ورزشگاه شهید سردار سلیمانی تبریز (بنیان دیزل) برگزار خواهد شد.
انتهای پیام",۱ مهر ۱۴۰۴ / ۱۷:۰۰,ایسنا/آذربایجان شرقی در پی اتفاقات عجیب در ورزشگاه شهید سردار سلیمانی تبریز (بنیان دیزل) دیدار مس سونگون ورزقان و مس کرمان در چارچوب هفته پنجم لیگ دسته یک فوتبال با ساعاتی تأخیر برگزار خواهد شد.,1.40407E+12
ورزشی,فوتسال/فوتبال,آغاز بلیتفروشی دیدار تراکتور و فجر برای زنان,https://www.isna.ir/news/1404070100647/آغاز-بلیت-فروشی-دیدار-تراکتور-و-فجر-برای-زنان,"این مسابقه از هفته پنجم لیگ برتر فوتبال کشور، روز پنجشنبه ۳ مهر از ساعت ۱۷ در ورزشگاه سردار شهید سلیمانی تبریز(بنیان دیزل) برگزار میشود.
هواداران بانوی تراکتور میتوانند بلیت این دیدار را از طریق سامانه زیر تهیه کنند:
ticket.tractor-club.com
به گزارش ایسنا به نقل از رسانه رسمی باشگاه تراکتور در روز سه شنبه یک مهر، از بانوان گرامی درخواست میشود برای جلوگیری از هرگونه مشکل انضباطی یا محرومیت احتمالی، حتماً بلیت خود را به صورت اینترنتی خریداری کنند.
انتهای پیام",۱ مهر ۱۴۰۴ / ۱۶:۴۹,ایسنا/آذربایجان شرقی بلیتفروشی اینترنتی دیدار تراکتور و فجر شهید سپاسی شیراز امروز سهشنبه، اول مهر صرفاً برای بانوان آغاز شد.,1.40407E+12
ورزشی,فوتسال/فوتبال,نتیجه جلسه ساپینتو با مدیران استقلال؛ حمایت کامل از کادرفنی,https://www.isna.ir/news/1404070100579/نتیجه-جلسه-ساپینتو-با-مدیران-استقلال-حمایت-کامل-از-کادرفنی,"به گزارش ایسنا، ریکاردو ساپینتو، سرمربی استقلال امروز (سهشنبه) جلسهای را با علی تاجرنیا، سرپرست مدیرعاملی باشگاه، کلارنس سیدورف، مشاور مدیرعامل و اعضای هیات مدیره برگزار کرد.
در این جلسه مدیریت باشگاه استقلال حمایت کامل خود را از ساپینتو اعلام کرده و اطمینان خاطر داده تا کار خود را با تمرکز پیگیری کند. پیش از این گفته میشد به ساپینتو اولتیماتوم داده شده است.
انتهای پیام",۱ مهر ۱۴۰۴ / ۱۵:۲۱,مدیران استقلال در جلسه امروز با ساپینتو، حمایت کامل خود را از این مربی اعلام کردند.,1.40407E+12
ورزشی,فوتسال/فوتبال,بیژن طاهری: رویم سیاه است/ دوران لات بازی تمام شده,https://www.isna.ir/news/1404070100502/بیژن-طاهری-رویم-سیاه-است-دوران-لات-بازی-تمام-شده,"بیژن طاهری سرپرست تیم فوتبال استقلال:
- روند استقلال رو به رشد است.
- پیشکسوتان بازیکنان را به حاشیه نبرند.
- رویم سیاه است و بابت شکست سنگین خجالت میکشم.
- بازی برگشت با الوصل را جبران میکنیم.
- من سرپرست همان تیمی هستم که بدون شکست قهرمان شد.
- تیم تحت کنترل من است.
- دوران لات بازی گذشته که من تو دهن بازیکن تیم بزنم.",۱ مهر ۱۴۰۴ / ۱۳:۵۶,سرپرست تیم استقلال گفت: دوران لات بازی گذشته که من تو دهن بازیکن تیم بزنم.,1.40407E+12
ورزشی,فوتسال/فوتبال,اسامی محرومان هفته پنجم لیگ برتر فوتبال,https://www.isna.ir/news/1404070100499/اسامی-محرومان-هفته-پنجم-لیگ-برتر-فوتبال,"به گزارش ایسنا، اسامی محرومان هفته پنجم لیگ برتر باشگاههای کشور فصل ۱۴۰۵-۱۴۰۴ اعلام شد.
اسامی محرومان به شرح زیر است:
ریکاردو ساپینتو (سرمربی)، رامین رضائیان (هر دو انضباطی) استقلال
میلاد باقری کارت قرمز پیکان تهران
محمد آقاجانپور ۴ اخطاره خیبرخرم آباد
محمدرضا حدادیفر (مربی) کارت قرمز ذوب آهن اصفهان
محمد علی پیروانی (مدیر تیم) انضباطی پرسپولیس 
انتهای پیام",۱ مهر ۱۴۰۴ / ۱۳:۵۲,اسامی محرومان هفته پنجم لیگ برتر باشگاههای کشور فصل ۱۴۰۵-۱۴۰۴ اعلام شد.,1.40407E+12
ورزشی,فوتسال/فوتبال,مدیرعامل ذوبآهن: اگر داد و قال نکنید حق شما را نمیدهند/ جرأت دارند شرایط ما را برای استقلال و پرسپولیس فراهم کنند؟,https://www.isna.ir/news/1404070100491/مدیرعامل-ذوب-آهن-اگر-داد-و-قال-نکنید-حق-شما-را-نمی-دهند-جرأت,"علی احسانی، مدیرعامل باشگاه ذوبآهن در گفتوگو با ایسنا درباره شکست یک بر صفر این تیم برابر فجر سپاسی گفت: تا حد امکان براساس خواستههای آقای حدادیفر بازیکن گرفتیم. یک داور میآید و با یک سوت اشتباه تمام برنامه تیم را به هم میریزد و ورق را برمیگرداند. در بازی با فجر سپاسی داوری را آوردند که اصلا تجربه لیگ برتر ندارد و بدون VAR او را به شهری فرستادند که ۳۰ هزار تماشاگر به استادیوم میآید و در آن شرایط این داور سوت زد که حق باشگاه ذوبآهن پامال شد.
مگر میشود چهار بازی با VAR باشد و بقیه نباشد؟
مدیرعامل باشگاه ذوبآهن ادامه داد: دقیقه ۹۶ بازی برابر فجر باید برای ما پنالتی گرفته میشد. در نیمه اول بازی باید به دلیل بازی خطرناک بازیکن حریف اخراج میشد. پیش از بازی هر چه زنگ زدیم و پیگیری کردیم که اگر VAR نیست حداقل داور باتجربه انتخاب کنید. بنا بود امسال همه بازیها با VAR برگزار شود، مگر میشود چهار بازی با VAR باشد و بقیه نباشد؟ مگر امکان چنین چیزی وجود دارد؟ 
جرأت ندارند برای استقلال و پرسپولیس چنین شرایطی فراهم کنند
احسانی همچنین افزود: آیا جرأت دارند که برای استقلال، پرسپولیس، سپاهان و تراکتور چنین شرایطی فراهم کنند؟ به خدا اگر جرأت کنند. باشگاه ذوبآهن اخلاقمدار است و سرمربی ما دوست ندارد وارد حاشیه شود و خود ما هم از آن شخصیتها نداریم که به در اتاق داوران برویم و فحش بدهیم که برای ما سوت برعکس بزنند. فقط ما پایبند موضوعات هستیم و کسی این موضوعات را مدنظر ندارد.
در فوتبال ایران اگر داد و قال نکنید حق شما را نمیدهند
مدیرعامل ذوبآهن با انتقاد از کمیته داوران بیان کرد: آقایان اکبرپور و جباری گفتند که اگر در فوتبال ایران داد و قال نکنید حق شما را نمیدهند. داد و قال میکنید جریمه میکنند و زمانی که نمیکنید حقتان را نمیدهند و نابودتان میکنند. ساختاری در کمیته داوران و چینش آن وجود ندارد که واقعا با عدالت رفتار و داوران خود را توجیه کند. با این وضعیت نمیدانم فوتبال به کجا برود و به کجا برسد.
کادر فنی و بازیکنان با هوشی داریم
علی احسانی در پایان درباره بازی آینده ذوبآهن برابر آلومینیوم اظهار کرد: بازی بعدی ما با آلومینیوم اراک است و همه آن را به تفکرات مربی خوبشان میشناسند. آقای حسینی از مربیان باکیفیت ایران هستند و با جوانها خوب کار میکنند. ما هم ذوبآهن هستیم و کادر فنی و بازیکنان باهوشی داریم. نیروی جوان و توانمندی داریم. امیدواریم به این تیم و امیدوارم در آن بازی روز خوب ما باشد تا در جدول به ثبات برسیم.
انتهای پیام",۱ مهر ۱۴۰۴ / ۱۳:۴۵,مدیرعامل ذوبآهن درباره داوری این تیم برابر فجر سپاسی گفت: اگر در فوتبال ایران داد و قال نکنید حق شما را نمیدهند. داد و قال میکنید جریمه میکنند و زمانی که نمیکنید حقتان را نمیدهند و نابودتان میکنند. ساختاری در کمیته داوران و چینش آن وجود ندارد که واقعا با عدالت رفتار کند. آیا جرأت دارند که برای استقلال، پرسپولیس، سپاهان و تراکتور همچین شرایطی را فراهم کنند؟,1.40407E+12
